[24.01.2014 11:50:18] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:50:20] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:50:20] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:50:21] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:50:23] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:50:23] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:50:23] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:50:25] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:50:25] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:50:25] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:50:27] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:50:27] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:50:27] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:50:29] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:50:29] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:50:29] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:50:31] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:50:31] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:50:32] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:50:34] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:50:34] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:50:34] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:50:36] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:50:36] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:50:36] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:50:38] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:50:38] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:50:38] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:50:40] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:50:40] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:50:40] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:50:42] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:50:42] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:50:43] v3.1.98.496	WorkersManager - OnProcessExit() 
[24.01.2014 11:50:45] v3.1.98.496	WorkersManager AddOrDeleteWorkers() Add:1 , needed:1 , current:0, Ready:0 , Creating: 0 
[24.01.2014 11:50:45] v3.1.98.496	WorkersManager - Worker closed.
[24.01.2014 11:50:45] v3.1.98.496	WorkersManager - OnProcessExit() 
